ROUTE,DIRECTION,LATITUDE,LONGITUDE
I 80,Westbound,41.2700556,-110.8465838
I 80,Westbound,41.2695213,-110.8452037
I 80,Westbound,41.2688332,-110.8433988
I 80,Westbound,41.2687355,-110.8431382
I 80,Westbound,41.2686416,-110.8428753
I 80,Westbound,41.2685401,-110.8425748
I 80,Westbound,41.2684472,-110.8422802
I 80,Westbound,41.2683766,-110.8420447
I 80,Westbound,41.2683019,-110.8417812
I 80,Westbound,41.2682195,-110.8414719
I 80,Westbound,41.2681518,-110.8411958
I 80,Westbound,41.2680889,-110.8409179
I 80,Westbound,41.2680229,-110.8406026
I 80,Westbound,41.2679694,-110.8403215
I 80,Westbound,41.26792,-110.8400391
I 80,Westbound,41.2678747,-110.8397558
I 80,Westbound,41.2678291,-110.8394328
I 80,Westbound,41.2677954,-110.8391549
I 80,Westbound,41.2677616,-110.8388289
I 80,Westbound,41.267736,-110.8385404
I 80,Westbound,41.2677149,-110.8382507
I 80,Westbound,41.2677027,-110.8380351
I 80,Westbound,41.2676972,-110.837932
I 80,Westbound,41.2676856,-110.8376507
I 80,Westbound,41.2676778,-110.8373603
I 80,Westbound,41.267675,-110.8370607
I 80,Westbound,41.2676786,-110.8367415
I 80,Westbound,41.267687,-110.8364511
I 80,Westbound,41.2676998,-110.8361707
I 80,Westbound,41.2677151,-110.8359109
I 80,Westbound,41.2677412,-110.8355546
I 80,Westbound,41.2677678,-110.8352666
I 80,Westbound,41.2677987,-110.83498
I 80,Westbound,41.267839,-110.8346567
I 80,Westbound,41.2678783,-110.8343813
I 80,Westbound,41.2679246,-110.8340893
I 80,Westbound,41.2679788,-110.8337802
I 80,Westbound,41.2680329,-110.8335003
I 80,Westbound,41.2681086,-110.8331507
I 80,Westbound,41.2681643,-110.832909
I 80,Westbound,41.2682161,-110.8326984
I 80,Westbound,41.2683044,-110.8323616
I 80,Westbound,41.2683783,-110.8320987
I 80,Westbound,41.2684614,-110.8318211
I 80,Westbound,41.2685552,-110.8315283
