ROUTE,LATITUDE,LONGITUDE
I 80,41.273761,-110.8051716
I 80,41.2739021,-110.8048224
I 80,41.2740404,-110.8045073
I 80,41.27417575,-110.8042218
I 80,41.2743657,-110.8038521
I 80,41.27451665,-110.8035798
I 80,41.2746762,-110.8033088
I 80,41.27483395,-110.8030571
I 80,41.27500675,-110.8027981
I 80,41.27526015,-110.8024435
I 80,41.27609035,-110.8013454
I 80,41.2761351,-110.8012869
I 80,41.27613799,-110.8012831
I 80,41.28127305,-110.7945646
I 80,41.28299205,-110.7923426
I 80,41.2845657,-110.7902768
I 80,41.2922796,-110.7801982
I 80,41.2927231,-110.7796123
I 80,41.2929705,-110.7792753
I 80,41.29320555,-110.778942
I 80,41.29341045,-110.7786369
I 80,41.2936398,-110.7782763
I 80,41.29382485,-110.7779673
I 80,41.29410695,-110.7774739
I 80,41.2943769,-110.7769848
I 80,41.2945531,-110.7766506
I 80,41.29682615,-110.7720966
I 80,41.30074205,-110.764218
I 80,41.3010394,-110.7636122
I 80,41.3013751,-110.7629046
I 80,41.30162815,-110.7623306
I 80,41.30185495,-110.7617729
I 80,41.3021107,-110.7610917
I 80,41.30224475,-110.7607071
I 80,41.3023979,-110.7602373
I 80,41.30255055,-110.7597366
I 80,41.3027258,-110.7591338
I 80,41.3084064,-110.7391668
I 80,41.30856415,-110.7385742
I 80,41.30863095,-110.7382927
I 80,41.3086904,-110.7380181
I 80,41.308751,-110.7377046
I 80,41.308793,-110.7374577
I 80,41.3088405,-110.7371314
I 80,41.3088731,-110.736849
I 80,41.3089032,-110.7365098
I 80,41.30892405,-110.7361723
I 80,41.3089378,-110.7357079
I 80,41.3089367,-110.7353749
I 80,41.30892825,-110.735085
I 80,41.3089075,-110.7347212
I 80,41.3088807,-110.7344044
I 80,41.3088453,-110.7340892
I 80,41.30880335,-110.7337856
I 80,41.30874775,-110.733446
I 80,41.30867375,-110.7330649
I 80,41.3086117,-110.7327894
I 80,41.308533,-110.7324761
I 80,41.30845455,-110.7321909
I 80,41.30832915,-110.7317675
I 80,41.30810141,-110.7310365
I 80,41.30308955,-110.7149528
I 80,41.3022872,-110.7124312
I 80,41.29936375,-110.7030535
I 80,41.2988041,-110.7012653
I 80,41.2985934,-110.700611
I 80,41.2984571,-110.7002225
I 80,41.29829815,-110.6998138
I 80,41.29813965,-110.6994442
I 80,41.29795795,-110.699058
I 80,41.29776255,-110.6986753
I 80,41.2969877,-110.6972314
I 80,41.2964947,-110.6962746
I 80,41.295966,-110.6952769
I 80,41.2958445,-110.6950362
I 80,41.29571445,-110.6947644
I 80,41.29560205,-110.6945125
I 80,41.2954929,-110.6942454
I 80,41.2953679,-110.6939064
I 80,41.29529055,-110.6936707
I 80,41.2952116,-110.6934049
I 80,41.29511525,-110.6930454
I 80,41.2950108,-110.6926059
I 80,41.29493325,-110.6922155
I 80,41.29488005,-110.6918835
I 80,41.294838,-110.6915442
I 80,41.29481255,-110.69128
I 80,41.2947938,-110.6910089
I 80,41.29478195,-110.6907197
I 80,41.2947778,-110.6904497
I 80,41.2947842,-110.6900209
I 80,41.2948095,-110.689555
I 80,41.2948539,-110.6890847
I 80,41.2949141,-110.6886446
I 80,41.2949559,-110.6883981
I 80,41.29500275,-110.6881582
I 80,41.29508755,-110.6877887
I 80,41.2951495,-110.6875496
I 80,41.295226,-110.6872813
I 80,41.2953208,-110.6869824
I 80,41.2954181,-110.6867055
I 80,41.29551595,-110.6864505
I 80,41.29563665,-110.6861632
I 80,41.29576165,-110.6858917
I 80,41.2958844,-110.6856425
I 80,41.2961487,-110.6851415
I 80,41.2975959,-110.6825205
I 80,41.29788835,-110.6819671
I 80,41.2980097,-110.6817201
I 80,41.2981546,-110.6814053
I 80,41.29834355,-110.680953
I 80,41.29845345,-110.6806639
I 80,41.29862705,-110.6801596
I 80,41.2987054,-110.6799065
I 80,41.2987863,-110.6796215
I 80,41.29885785,-110.6793454
I 80,41.29892395,-110.6790667
I 80,41.29899005,-110.6787583
I 80,41.2990429,-110.6784835
I 80,41.2990965,-110.6781657
I 80,41.2991376,-110.6778827
I 80,41.29920185,-110.6773274
I 80,41.2992307,-110.6769884
I 80,41.2992467,-110.6767331
I 80,41.2992638,-110.6762675
I 80,41.29926735,-110.675846
I 80,41.2992615,-110.6753006
I 80,41.29917777,-110.6700712
I 80,41.29917773,-110.670069
I 80,41.29906655,-110.6631253
I 80,41.29891025,-110.6530593
I 80,41.29889515,-110.6523056
I 80,41.29886155,-110.6510748
I 80,41.2987972,-110.6472152
