ROUTE,DIRECTION,LATITUDE,LONGITUDE
I 80,Eastbound,41.2630914,-110.9036676
I 80,Eastbound,41.262963,-110.9029769
I 80,Eastbound,41.2628213,-110.9022029
I 80,Eastbound,41.2627704,-110.9019199
I 80,Eastbound,41.2627214,-110.901636
I 80,Eastbound,41.2626697,-110.901324
I 80,Eastbound,41.2626243,-110.901039
I 80,Eastbound,41.2625352,-110.9004486
I 80,Eastbound,41.2624892,-110.9001249
I 80,Eastbound,41.26245,-110.8998376
I 80,Eastbound,41.2623936,-110.8994023
I 80,Eastbound,41.2623409,-110.8989753
I 80,Eastbound,41.2622729,-110.898381
I 80,Eastbound,41.2622386,-110.8980554
I 80,Eastbound,41.2622141,-110.8978058
I 80,Eastbound,41.2621556,-110.897162
I 80,Eastbound,41.2621269,-110.8968739
I 80,Eastbound,41.2620564,-110.8962625
I 80,Eastbound,41.2620308,-110.895974
I 80,Eastbound,41.2620128,-110.8956933
I 80,Eastbound,41.2619827,-110.8950831
I 80,Eastbound,41.2619579,-110.8944714
I 80,Eastbound,41.2619483,-110.894189
I 80,Eastbound,41.2619395,-110.8938596
I 80,Eastbound,41.2619294,-110.8933147
I 80,Eastbound,41.2619258,-110.8929839
I 80,Eastbound,41.26192435,-110.8927341
I 80,Eastbound,41.2619249,-110.8924081
I 80,Eastbound,41.2619305,-110.8917648
I 80,Eastbound,41.2619351,-110.8914412
I 80,Eastbound,41.2619413,-110.8911517
I 80,Eastbound,41.2619498,-110.8908602
I 80,Eastbound,41.2619609,-110.8905424
I 80,Eastbound,41.2619809,-110.8900513
I 80,Eastbound,41.2619976,-110.8896849
I 80,Eastbound,41.262015,-110.8893556
I 80,Eastbound,41.2620521,-110.8887736
I 80,Eastbound,41.262075,-110.8884551
I 80,Eastbound,41.2621216,-110.8878667
I 80,Eastbound,41.2621492,-110.8875497
I 80,Eastbound,41.2621789,-110.8872332
I 80,Eastbound,41.2622156,-110.8868708
I 80,Eastbound,41.2622698,-110.8863694
I 80,Eastbound,41.2623233,-110.8859151
I 80,Eastbound,41.2623766,-110.8854899
I 80,Eastbound,41.2624398,-110.8850197
I 80,Eastbound,41.2625002,-110.8845958
I 80,Eastbound,41.2625796,-110.8840707
I 80,Eastbound,41.2626367,-110.883712
I 80,Eastbound,41.2627019,-110.8833265
I 80,Eastbound,41.2627893,-110.8828317
I 80,Eastbound,41.262891,-110.8822837
I 80,Eastbound,41.2629589,-110.8819272
I 80,Eastbound,41.2630519,-110.8814621
I 80,Eastbound,41.2631297,-110.8810933
I 80,Eastbound,41.2632222,-110.8806756
I 80,Eastbound,41.2633262,-110.8802244
I 80,Eastbound,41.263457,-110.8796758
I 80,Eastbound,41.2635342,-110.8793626
I 80,Eastbound,41.263612,-110.8790604
I 80,Eastbound,41.2638292,-110.8782476
I 80,Eastbound,41.2639128,-110.8779396
I 80,Eastbound,41.2639917,-110.8776595
I 80,Eastbound,41.2640787,-110.8773639
I 80,Eastbound,41.2642418,-110.8768267
I 80,Eastbound,41.2644166,-110.8762654
I 80,Eastbound,41.2645049,-110.8759906
I 80,Eastbound,41.2645894,-110.875734
I 80,Eastbound,41.2646875,-110.8754444
I 80,Eastbound,41.2648728,-110.8749105
I 80,Eastbound,41.2649786,-110.874614
I 80,Eastbound,41.2651541,-110.8741346
I 80,Eastbound,41.2652638,-110.8738405
I 80,Eastbound,41.2654223,-110.8734267
I 80,Eastbound,41.2655741,-110.87304
I 80,Eastbound,41.2656912,-110.8727504
I 80,Eastbound,41.265848,-110.8723716
I 80,Eastbound,41.2660169,-110.8719695
I 80,Eastbound,41.2661257,-110.8717163
I 80,Eastbound,41.2662508,-110.8714319
I 80,Eastbound,41.2664609,-110.8709632
I 80,Eastbound,41.2665856,-110.8706904
I 80,Eastbound,41.2667158,-110.8704111
I 80,Eastbound,41.2669495,-110.8699221
I 80,Eastbound,41.2670958,-110.8696244
I 80,Eastbound,41.2673234,-110.8691729
I 80,Eastbound,41.2674431,-110.868941
I 80,Eastbound,41.2675682,-110.8687026
I 80,Eastbound,41.2677737,-110.8683154
I 80,Eastbound,41.2682483,-110.8674301
I 80,Eastbound,41.2687635,-110.8664611
I 80,Eastbound,41.2691909,-110.8656649
I 80,Eastbound,41.2696863,-110.8647354
I 80,Eastbound,41.26988594,-110.8643625
I 80,Eastbound,41.2703698,-110.8634586
I 80,Eastbound,41.2706255,-110.8629781
I 80,Eastbound,41.2708864,-110.8624831
I 80,Eastbound,41.2708864,-110.8624831
I 80,Eastbound,41.2709789,-110.8623056
I 80,Eastbound,41.2711175,-110.8620334
I 80,Eastbound,41.2712288,-110.8618049
I 80,Eastbound,41.2713174,-110.8616127
I 80,Eastbound,41.2713579,-110.8615248
I 80,Eastbound,41.2714555,-110.861298
I 80,Eastbound,41.2715697,-110.8610169
I 80,Eastbound,41.2716805,-110.8607239
I 80,Eastbound,41.2717706,-110.8604693
I 80,Eastbound,41.2718608,-110.8601943
I 80,Eastbound,41.2719424,-110.859925
I 80,Eastbound,41.2720249,-110.8596259
I 80,Eastbound,41.2720948,-110.8593505
I 80,Eastbound,41.2721587,-110.859073
I 80,Eastbound,41.2722215,-110.8587651
I 80,Eastbound,41.2722732,-110.8584827
I 80,Eastbound,41.2723267,-110.8581526
I 80,Eastbound,41.2723624,-110.8579041
I 80,Eastbound,41.27237627,-110.8577927
I 80,Eastbound,41.27237627,-110.8577927
I 80,Eastbound,41.2723989,-110.8576085
I 80,Eastbound,41.2724273,-110.8573294
I 80,Eastbound,41.2724535,-110.8570031
I 80,Eastbound,41.2724703,-110.856685
I 80,Eastbound,41.2724804,-110.8563866
I 80,Eastbound,41.2724849,-110.8561062
I 80,Eastbound,41.2724837,-110.8558168
I 80,Eastbound,41.2724763,-110.8555281
I 80,Eastbound,41.2724731,-110.8554528
I 80,Eastbound,41.2724606,-110.8552009
I 80,Eastbound,41.2724403,-110.8549117
I 80,Eastbound,41.272412,-110.8545947
I 80,Eastbound,41.2723816,-110.8543076
I 80,Eastbound,41.2723449,-110.8540214
I 80,Eastbound,41.2723024,-110.8537465
I 80,Eastbound,41.2722722,-110.8535736
I 80,Eastbound,41.2722462,-110.8534279
I 80,Eastbound,41.27220697,-110.8532313
I 80,Eastbound,41.2721904,-110.8531483
I 80,Eastbound,41.2721288,-110.8528707
I 80,Eastbound,41.2720622,-110.8525954
I 80,Eastbound,41.2719802,-110.8522875
I 80,Eastbound,41.2718932,-110.8519918
I 80,Eastbound,41.27184188,-110.851829
I 80,Eastbound,41.2717518,-110.8515577
I 80,Eastbound,41.2717518,-110.8515577
I 80,Eastbound,41.2717189,-110.8514615
I 80,Eastbound,41.271637,-110.8512343
I 80,Eastbound,41.2715379,-110.8509679
I 80,Eastbound,41.2711136,-110.8498515
I 80,Eastbound,41.27088074,-110.8492474
I 80,Eastbound,41.2707016,-110.8487827
I 80,Eastbound,41.2700163,-110.8469911
I 80,Eastbound,41.2690537,-110.8444885
I 80,Eastbound,41.2686625,-110.8434631
I 80,Eastbound,41.2685633,-110.8431949
I 80,Eastbound,41.2684734,-110.8429413
I 80,Eastbound,41.2683726,-110.8426426
I 80,Eastbound,41.26829,-110.8423837
I 80,Eastbound,41.2682576,-110.8422759
I 80,Eastbound,41.2682064,-110.8421047
I 80,Eastbound,41.2681296,-110.8418311
I 80,Eastbound,41.2680415,-110.8414931
I 80,Eastbound,41.2679825,-110.8412513
I 80,Eastbound,41.2679211,-110.8409808
I 80,Eastbound,41.267857,-110.8406725
I 80,Eastbound,41.2678038,-110.8403898
I 80,Eastbound,41.2677481,-110.8400694
I 80,Eastbound,41.267699,-110.8397562
I 80,Eastbound,41.2676593,-110.8394713
I 80,Eastbound,41.2676284,-110.8392218
I 80,Eastbound,41.267594,-110.8389069
I 80,Eastbound,41.2675648,-110.8385811
I 80,Eastbound,41.2675434,-110.8382836
I 80,Eastbound,41.2675273,-110.8380038
I 80,Eastbound,41.2675152,-110.8377144
I 80,Eastbound,41.2675094,-110.8374994
I 80,Eastbound,41.2675069,-110.8373963
I 80,Eastbound,41.2675038,-110.8371062
I 80,Eastbound,41.2675054,-110.8368155
I 80,Eastbound,41.2675114,-110.8365251
I 80,Eastbound,41.267523,-110.8362069
I 80,Eastbound,41.2675389,-110.8359177
I 80,Eastbound,41.2675599,-110.8356202
I 80,Eastbound,41.2675873,-110.8353045
I 80,Eastbound,41.2676159,-110.8350268
I 80,Eastbound,41.2676518,-110.8347322
I 80,Eastbound,41.2676964,-110.8344106
I 80,Eastbound,41.2677386,-110.8341363
I 80,Eastbound,41.2677867,-110.8338543
I 80,Eastbound,41.2678391,-110.8335731
I 80,Eastbound,41.2679007,-110.8332665
I 80,Eastbound,41.2679634,-110.8329795
I 80,Eastbound,41.2680286,-110.832703
I 80,Eastbound,41.2681057,-110.8324021
I 80,Eastbound,41.2681812,-110.83213
I 80,Eastbound,41.268259,-110.8318683
I 80,Eastbound,41.2683577,-110.8315563
I 80,Eastbound,41.2684444,-110.8312984
I 80,Eastbound,41.2685257,-110.8310682
I 80,Eastbound,41.2686448,-110.8307458
I 80,Eastbound,41.2687418,-110.8304961
I 80,Eastbound,41.2687793,-110.830404
I 80,Eastbound,41.2688574,-110.8302134
I 80,Eastbound,41.2689665,-110.8299589
I 80,Eastbound,41.2691026,-110.8296541
I 80,Eastbound,41.2696654,-110.828414
I 80,Eastbound,41.2700574,-110.8275442
I 80,Eastbound,41.2703658,-110.8268639
I 80,Eastbound,41.2709045,-110.825682
I 80,Eastbound,41.2715016,-110.8243624
I 80,Eastbound,41.2718437,-110.823593
I 80,Eastbound,41.2719521,-110.8233391
I 80,Eastbound,41.2720528,-110.8230893
I 80,Eastbound,41.27214628,-110.8228443
I 80,Eastbound,41.2722518,-110.8225497
I 80,Eastbound,41.2723381,-110.8222829
I 80,Eastbound,41.2724169,-110.8220116
I 80,Eastbound,41.2724964,-110.8217107
I 80,Eastbound,41.272625,-110.8212047
I 80,Eastbound,41.2726934,-110.8209296
I 80,Eastbound,41.2727584,-110.8206527
I 80,Eastbound,41.2728183,-110.8203744
I 80,Eastbound,41.2728789,-110.8200672
I 80,Eastbound,41.2729247,-110.8198146
I 80,Eastbound,41.2729753,-110.819505
I 80,Eastbound,41.2730118,-110.8192585
I 80,Eastbound,41.2730499,-110.8189755
I 80,Eastbound,41.2730869,-110.8186528
I 80,Eastbound,41.2731111,-110.8184054
I 80,Eastbound,41.2731352,-110.8181189
I 80,Eastbound,41.2731568,-110.817795
I 80,Eastbound,41.2731708,-110.8175089
I 80,Eastbound,41.2731794,-110.8172592
I 80,Eastbound,41.2731853,-110.8169733
I 80,Eastbound,41.2731867,-110.8166777
I 80,Eastbound,41.2731819,-110.8163546
I 80,Eastbound,41.2731746,-110.8161084
I 80,Eastbound,41.2731655,-110.815891
I 80,Eastbound,41.2731465,-110.8155327
I 80,Eastbound,41.2731258,-110.8152418
I 80,Eastbound,41.2731017,-110.8149614
I 80,Eastbound,41.2730235,-110.8141341
I 80,Eastbound,41.2729183,-110.8129589
I 80,Eastbound,41.2727776,-110.8114181
I 80,Eastbound,41.2727531,-110.8110967
I 80,Eastbound,41.2727399,-110.8108497
I 80,Eastbound,41.2727289,-110.8105282
I 80,Eastbound,41.2727253,-110.8102623
I 80,Eastbound,41.2727271,-110.809987
I 80,Eastbound,41.2727328,-110.8097296
I 80,Eastbound,41.2727435,-110.8094445
I 80,Eastbound,41.2727602,-110.8091592
I 80,Eastbound,41.2727799,-110.8089124
I 80,Eastbound,41.2728076,-110.8086278
I 80,Eastbound,41.272842,-110.8083351
I 80,Eastbound,41.2728796,-110.808061
I 80,Eastbound,41.2729192,-110.8078068
I 80,Eastbound,41.2729687,-110.8075257
I 80,Eastbound,41.2730224,-110.8072552
I 80,Eastbound,41.2730835,-110.8069767
I 80,Eastbound,41.2731407,-110.8067367
I 80,Eastbound,41.2732022,-110.8064969
I 80,Eastbound,41.2732844,-110.8061981
I 80,Eastbound,41.2733655,-110.8059285
I 80,Eastbound,41.2734523,-110.8056605
I 80,Eastbound,41.2735013,-110.805518
I 80,Eastbound,41.2735401,-110.8054059
I 80,Eastbound,41.2736251,-110.8051745
I 80,Eastbound,41.2737264,-110.804915
I 80,Eastbound,41.2738274,-110.804672
I 80,Eastbound,41.273952,-110.804391
I 80,Eastbound,41.2740688,-110.804145
I 80,Eastbound,41.2741843,-110.8039157
I 80,Eastbound,41.2742345,-110.8038219
I 80,Eastbound,41.2742345,-110.8038219
I 80,Eastbound,41.274314,-110.8036733
I 80,Eastbound,41.2744404,-110.8034494
I 80,Eastbound,41.2745912,-110.8031946
I 80,Eastbound,41.27461368,-110.8031587
I 80,Eastbound,41.2747466,-110.8029464
I 80,Eastbound,41.2748945,-110.8027226
I 80,Eastbound,41.2750414,-110.8025115
I 80,Eastbound,41.2752181,-110.8022699
I 80,Eastbound,41.27605332,-110.8011714
I 80,Eastbound,41.27605332,-110.8011714
I 80,Eastbound,41.277163,-110.7997169
I 80,Eastbound,41.2779798,-110.7986504
I 80,Eastbound,41.2784091,-110.7980923
I 80,Eastbound,41.2784091,-110.7980923
I 80,Eastbound,41.279106,-110.7971811
